Models,MAE,MAPE,Time series label,Time
AutoTs,0.012076055748622366,2.8617106629705944,0,69.6468632000001
AutoTs,18.6715596371315,0.5105250186792166,1,29.502993099999912
AutoTs,23.176610539463642,0.5181232520780051,2,30.1236614999998
AutoTs,0.03735251177201947,0.40968696840135066,3,28.76574619999974
AutoTs,0.14508147940909583,0.46442878622377953,4,41.94214719999991
AutoTs,0.21479999999999985,0.46197719672120396,5,25.49965740000016
AutoTs,5.021470041755113,0.17941484155211854,6,36.85374189999993
AutoTs,0.47687548758772685,0.7260055102686607,7,31.687066799999684
AutoTs,0.008861620478307467,0.007210715252348928,8,32.720846300000176
AutoTs,0.018367101141087708,24.234619710943196,9,44.333070300000145
AutoTs,0.23012123615457844,0.2554899177352252,10,48.84157719999985
AutoTs,0.6673805392865717,1.2823737564443767,11,28.36665519999997
AutoTs,4.958694839909958,0.1834287196051445,12,33.13305219999984
AutoTs,0.15039999999999917,0.5888275772043045,13,24.516449700000067
AutoTs,1.1697576243537173,2.698170164698115,14,39.44287860000031
AutoTs,7.433765006796148,0.22314455153335705,15,38.16917990000002
AutoTs,0.11258278938107663,0.49256853226877256,16,34.30761059999986
AutoTs,0.06320617025856497,0.0956437505732106,17,28.939261100000294
AutoTs,0.701358764409571,2.9831936539058224,18,22.73717039999974
AutoTs,0.28346099203625386,0.10785725626861929,19,20.776166900000135
AutoTs,0.05356394886998004,0.05228033956198331,20,45.3642147999999
AutoTs,0.1825095571695319,0.2039103162720597,21,31.118476899999678
AutoTs,0.3393999959558033,1.130637703162019,22,37.405745600000046
AutoTs,0.07866748082435435,0.5732327276092863,23,31.11337000000003
AutoTs,0.40886814814814976,1.885938900766013,24,38.50988570000027
AutoTs,0.07128830001849806,1.1570555241863705,25,23.45000310000023
AutoTs,0.2692838798986575,1.5701922022284198,26,32.835113099999944
AutoTs,0.02770333333333319,0.7607360279274955,27,44.08990979999999
AutoTs,0.4570000000000005,1.5556716950485658,28,27.744377600000007
AutoTs,0.17090373000873313,0.832664936489126,29,27.81188710000015
AutoTs,0.17891334981566362,1.0015712816405642,30,31.999336500000027
AutoTs,0.08571057488600424,9.845397022034732,31,36.395939
AutoTs,0.1773537573325753,1.0314446326789852,32,44.2276453999998
AutoTs,0.0313666666666664,0.6459165662503322,33,47.32061909999993
AutoTs,0.034149129949747524,0.5374220700445976,34,45.00752620000003
AutoTs,0.06754825694653818,2.1736372519587452,35,78.65382279999994
AutoTs,0.012362454846341929,114.69032407319104,36,65.29506130000027
AutoTs,0.008694071586452764,1.3560875946040023,37,53.42257289999998
AutoTs,0.023337415782340006,15.361862604369895,38,29.92552620000015
AutoTs,0.35490380256739795,0.6615743275152531,39,27.73371159999988
AutoTs,0.3919027696223308,0.9047851915901249,40,30.798418599999877
