Models,MAE,MAPE,Time series label,Time
FEDOT,0.0652026028751375,74.60960562215914,9,301.86319817998447
FEDOT,2.0918347590896937,2696.7325492873074,9,509.8616142779938
FEDOT,0.06551424079830402,75.35069060238546,9,302.1624635250191
FEDOT,0.039597920109250416,46.327631376231416,9,301.7819767660112
FEDOT,0.06361526403529771,73.18600093834229,9,301.6455619899789
FEDOT,0.06504630606234747,74.59473509957813,9,302.5905959890224
FEDOT,0.043322111171640594,50.60548255439994,9,301.13080024701776
FEDOT,0.0666829769681482,76.70325935916563,9,301.46706292795716
FEDOT,3.7332059564563598,4836.254067358804,9,514.4504610619624
FEDOT,0.0644419466706194,73.87134789066627,9,302.2698452559998
FEDOT,0.07246347170237544,82.875510648827,9,302.0100526860333
FEDOT,0.10082996590499672,110.36469157967741,9,301.95254555594875
FEDOT,0.04612417139127854,54.085128823646954,9,301.397784219007
FEDOT,0.06543405720445411,75.33726595523858,9,302.3556848890148
FEDOT,3.7332059564563598,4836.254067358804,9,591.9981505130418
FEDOT,0.06208674741974932,71.25907964395962,9,301.7231970800203
FEDOT,0.0624236124269562,71.82585796790354,9,301.74281354097184
FEDOT,0.06236549869473792,71.65377651578115,9,302.0560142570175
FEDOT,0.06147649565404129,70.71760818923926,9,301.65135687898146
FEDOT,0.0863404090246065,98.64383201012951,9,301.32777364098
FEDOT,0.06670573452557355,76.34450588201925,9,302.2697939359932
FEDOT,0.04404242058224029,52.14878952426191,9,301.95116540195886
FEDOT,0.056123048709098636,64.48213397386672,9,301.48357332200976
FEDOT,0.045692683399294144,52.73811479213811,9,301.57631780800875
FEDOT,0.04482728348690832,51.76852362451844,9,301.4380511859781
FEDOT,0.16489824154171187,169.53492020590028,9,301.6270229810034
FEDOT,0.06656063359209333,76.41972348517425,9,301.9352130049956
FEDOT,0.06371778501869341,73.3110285014865,9,301.84686556999804
FEDOT,0.0637200369402203,73.28413280678186,9,301.68599562201416
FEDOT,0.06293636669376644,72.26358632401153,9,301.60371032200055
