Models,MAE,MAPE,Time series label,Time
AutoTs,0.25595328876746687,437.55086205782476,Furnace 1 [kW],43.9848872
AutoTs,0.20560619260069335,346.00832955792197,Furnace 1 [kW],52.53189869999999
AutoTs,0.21761418376821873,399.58971482145733,Furnace 1 [kW],38.2900928
AutoTs,0.24111855063339135,406.05148868316246,Furnace 1 [kW],46.84855000000002
AutoTs,0.18969009609607454,258.41995280257464,Furnace 1 [kW],44.020906800000006
AutoTs,0.2519184244054107,404.47277611521946,Furnace 1 [kW],49.13613000000001
AutoTs,0.27295499997999995,449.82711613805446,Furnace 1 [kW],39.83332949999999
AutoTs,0.2415216229115148,470.44583139640696,Furnace 1 [kW],55.89784780000002
AutoTs,0.25737633328,369.8294431537465,Furnace 1 [kW],45.62003470000002
AutoTs,0.1338579335638205,180.90566169716018,Furnace 1 [kW],37.905668599999956
AutoTs,0.25737633328,369.8294431537465,Furnace 1 [kW],39.54075610000001
AutoTs,0.24135249323002608,351.82468613569574,Furnace 1 [kW],37.66746860000006
AutoTs,0.17133945821848268,252.5829621474298,Furnace 1 [kW],41.119445999999925
AutoTs,0.264205466606,389.30688898284774,Furnace 1 [kW],39.065189499999974
AutoTs,0.2656233704023415,458.57035847448975,Furnace 1 [kW],39.813853600000016
AutoTs,0.27295499998,449.82711613805446,Furnace 1 [kW],38.87331549999999
AutoTs,0.25302527371968286,380.0148559557661,Furnace 1 [kW],36.31375449999996
AutoTs,0.25737633328,369.8294431537465,Furnace 1 [kW],41.35739160000003
AutoTs,0.24692312621440052,470.4677948228618,Furnace 1 [kW],38.25522180000007
AutoTs,0.2636757617285354,453.2228167227612,Furnace 1 [kW],42.03595560000008
AutoTs,0.2530459235753171,398.6283241045027,Furnace 1 [kW],45.68046349999997
AutoTs,0.27304044231087604,450.3684960169148,Furnace 1 [kW],41.399224199999935
AutoTs,0.1331989638412515,157.69800425112453,Furnace 1 [kW],79.40039810000007
AutoTs,0.1471262748654662,148.971215818557,Furnace 1 [kW],41.05479520000006
AutoTs,0.24169133333999998,351.79808915677046,Furnace 1 [kW],55.48585839999987
AutoTs,0.24531957110981087,483.6457357930104,Furnace 1 [kW],45.43788880000011
AutoTs,0.26892977130997003,433.4260835291163,Furnace 1 [kW],60.01019389999988
AutoTs,0.26010472043383875,415.08864147293536,Furnace 1 [kW],47.97016329999997
AutoTs,0.27295499997999995,449.82711613805446,Furnace 1 [kW],52.77909319999981
AutoTs,0.24692312621440052,470.4677948228618,Furnace 1 [kW],37.47477249999997
